"  crm_activities  ·  1,200 lignes  ·  8 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
activity_id,type,date,contact_id,opportunity_id,duration_minutes,notes,created_by
ACT0001,Site Visit,2023-09-03,CON0009,OPP0054,90,Follow-up on proposal sent last week.,EMP0136
ACT0002,Webinar,2023-06-21,CON0570,OPP0276,15,Integration requirements clarified.,EMP0080
ACT0003,Follow-up,2022-10-01,CON0690,OPP0001,15,Executive sponsor confirmed budget.,EMP0100
ACT0004,Meeting,2024-10-26,CON0510,OPP0227,120,Stakeholder alignment meeting held.,EMP0123
ACT0005,Demo,2023-10-05,CON0534,OPP0168,120,Integration requirements clarified.,EMP0103
ACT0006,Follow-up,2024-03-28,CON0767,OPP0160,120,Follow-up on proposal sent last week.,EMP0112
ACT0007,Meeting,2023-03-22,CON0304,OPP0338,30,Follow-up on proposal sent last week.,EMP0037
ACT0008,Site Visit,2022-10-24,CON0184,OPP0039,30,Demo completed - positive reception from technical team.,EMP0005
ACT0009,Follow-up,2022-05-11,CON0047,OPP0146,30,POC results reviewed - client satisfied.,EMP0065
ACT0010,Demo,2022-08-19,CON0289,OPP0376,60,Stakeholder alignment meeting held.,EMP0146
ACT0011,Email,2022-07-04,CON0483,OPP0442,90,Legal review of MSA initiated.,EMP0040
ACT0012,Site Visit,2023-07-23,CON0590,OPP0354,90,Follow-up on proposal sent last week.,EMP0042
ACT0013,Demo,2022-08-16,CON0754,OPP0282,15,Discussed roadmap and budget approval.,EMP0057
ACT0014,Site Visit,2024-05-14,CON0420,OPP0011,120,New requirements gathered for phase 2.,EMP0044
ACT0015,Call,2022-05-08,CON0006,OPP0179,30,New requirements gathered for phase 2.,EMP0042
ACT0016,Webinar,2023-02-01,CON0558,OPP0203,30,Competitive evaluation underway.,EMP0025
ACT0017,Call,2023-10-21,CON0647,OPP0024,45,Executive sponsor confirmed budget.,EMP0046
ACT0018,Follow-up,2023-05-16,CON0543,OPP0461,30,Stakeholder alignment meeting held.,EMP0001
ACT0019,Webinar,2022-11-28,CON0428,OPP0432,90,Demo completed - positive reception from technical team.,EMP0145
ACT0020,Call,2022-05-03,CON0462,OPP0204,90,New requirements gathered for phase 2.,EMP0111
ACT0021,Meeting,2024-07-25,CON0775,OPP0224,30,Competitive evaluation underway.,EMP0059
ACT0022,Meeting,2023-02-28,CON0514,OPP0313,60,Renewal discussion started for next fiscal year.,EMP0053
ACT0023,Demo,2024-09-17,CON0418,OPP0461,120,Follow-up on proposal sent last week.,EMP0130
ACT0024,Webinar,2022-08-22,CON0647,OPP0494,90,Security questionnaire submitted and reviewed.,EMP0104
ACT0025,Meeting,2024-03-25,CON0466,OPP0054,30,Integration requirements clarified.,EMP0142
ACT0026,Follow-up,2022-08-11,CON0001,OPP0499,15,Contract review scheduled for next month.,EMP0040
ACT0027,Meeting,2023-02-16,CON0232,OPP0368,90,Demo completed - positive reception from technical team.,EMP0026
ACT0028,Demo,2023-12-17,CON0192,OPP0237,120,POC results reviewed - client satisfied.,EMP0017
ACT0029,Proposal Review,2023-10-29,CON0726,OPP0481,120,New requirements gathered for phase 2.,EMP0006
ACT0030,Site Visit,2024-09-14,CON0505,OPP0198,15,Renewal discussion started for next fiscal year.,EMP0012
ACT0031,Site Visit,2024-01-29,CON0596,OPP0086,15,Renewal discussion started for next fiscal year.,EMP0138
ACT0032,Email,2023-06-30,CON0254,OPP0395,15,POC results reviewed - client satisfied.,EMP0033
ACT0033,Proposal Review,2024-06-29,CON0420,OPP0060,60,Security questionnaire submitted and reviewed.,EMP0129
ACT0034,Email,2023-12-23,CON0608,OPP0215,90,Competitive evaluation underway.,EMP0137
ACT0035,Demo,2023-09-05,CON0359,OPP0339,60,Demo completed - positive reception from technical team.,EMP0005
ACT0036,Meeting,2024-03-11,CON0386,OPP0189,120,Competitive evaluation underway.,EMP0103
ACT0037,Site Visit,2022-12-16,CON0627,OPP0446,45,POC results reviewed - client satisfied.,EMP0025
ACT0038,Meeting,2023-10-25,CON0459,OPP0105,45,POC results reviewed - client satisfied.,EMP0130
ACT0039,Meeting,2023-12-05,CON0334,OPP0115,90,Decision maker out of office; rescheduled.,EMP0112
ACT0040,Call,2024-06-29,CON0756,OPP0153,30,POC results reviewed - client satisfied.,EMP0006
ACT0041,Proposal Review,2023-07-04,CON0643,OPP0244,30,Executive sponsor confirmed budget.,EMP0106
ACT0042,Site Visit,2023-09-16,CON0065,OPP0392,60,POC results reviewed - client satisfied.,EMP0102
ACT0043,Proposal Review,2022-02-14,CON0576,OPP0002,90,Executive sponsor confirmed budget.,EMP0118
ACT0044,Follow-up,2024-10-16,CON0262,OPP0287,45,Renewal discussion started for next fiscal year.,EMP0147
ACT0045,Follow-up,2024-04-10,CON0283,OPP0039,90,Contract review scheduled for next month.,EMP0130
ACT0046,Follow-up,2022-08-19,CON0421,OPP0237,30,Decision maker out of office; rescheduled.,EMP0118
ACT0047,Webinar,2023-02-27,CON0409,OPP0376,90,Stakeholder alignment meeting held.,EMP0137
ACT0048,Email,2024-02-19,CON0300,OPP0398,90,Stakeholder alignment meeting held.,EMP0008
ACT0049,Follow-up,2023-08-17,CON0324,OPP0006,90,Demo completed - positive reception from technical team.,EMP0132
ACT0050,Site Visit,2022-01-21,CON0335,OPP0495,30,Follow-up on proposal sent last week.,EMP0009
ACT0051,Meeting,2024-03-27,CON0143,OPP0493,60,Discussed roadmap and budget approval.,EMP0102
ACT0052,Site Visit,2023-08-17,CON0567,OPP0309,15,Discussed roadmap and budget approval.,EMP0140
ACT0053,Meeting,2023-07-09,CON0548,OPP0427,45,Pricing negotiation in progress.,EMP0134
ACT0054,Email,2023-03-30,CON0001,OPP0285,90,POC results reviewed - client satisfied.,EMP0143
ACT0055,Demo,2022-03-26,CON0338,OPP0248,45,Renewal discussion started for next fiscal year.,EMP0139
ACT0056,Demo,2024-08-28,CON0269,OPP0427,120,Follow-up on proposal sent last week.,EMP0142
ACT0057,Webinar,2024-05-01,CON0243,OPP0008,30,Security questionnaire submitted and reviewed.,EMP0115
ACT0058,Webinar,2022-01-27,CON0049,OPP0001,30,Discussed roadmap and budget approval.,EMP0089
ACT0059,Site Visit,2024-04-05,CON0105,OPP0304,90,Pricing negotiation in progress.,EMP0053
ACT0060,Call,2024-01-03,CON0397,OPP0150,15,Stakeholder alignment meeting held.,EMP0067
ACT0061,Demo,2024-06-16,CON0555,OPP0341,45,Integration requirements clarified.,EMP0115
