  hr_projects  ·  60 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
project_id,project_name,client_account_id,department_id,start_date,end_date,budget,status,project_manager_id,currency,required_skills
PRJ0001,Data Analytics & BI STB,ACC0140,DEP007,2024-09-28,2025-02-28,349238.77,Planning,EMP0063,TND,Kubernetes; AWS; DevOps; Project Management
PRJ0002,Implementation CRM Attijari,ACC0106,DEP010,2023-06-03,2024-08-12,603245.6,Cancelled,EMP0009,TND,SAP; SQL; Kubernetes
PRJ0003,Digital Twin IBM,ACC0012,DEP005,2023-01-10,2024-04-25,1049463.97,Completed,EMP0062,TND,AWS; Python
PRJ0004,Cybersecurite & Conformite BIAT,ACC0136,DEP005,2022-12-27,2023-04-14,875124.77,On Hold,EMP0017,TND,Project Management; SQL; Business Analysis; Kubernetes
PRJ0005,Refonte SI Delice,ACC0081,DEP006,2023-03-06,2023-09-26,170946.12,Active,EMP0059,TND,SAP; Kubernetes
PRJ0006,Urbanisation SI BNA,ACC0086,DEP003,2023-05-16,2024-03-09,1188061.11,Planning,EMP0128,TND,SQL; SAP
PRJ0007,Architecture Cloud BIAT,ACC0143,DEP003,2024-07-15,2025-08-02,1249484.94,Cancelled,EMP0018,TND,AWS; SAP
PRJ0008,Implementation CRM BNA,ACC0040,DEP008,2022-05-23,2022-09-04,629128.75,Planning,EMP0091,TND,SQL; React; DevOps; Data Analytics
PRJ0009,Audit Conseil SI VERMEG,ACC0161,DEP010,2024-08-05,2025-07-27,736144.78,Planning,EMP0086,TND,Java; Business Analysis; Kubernetes; DevOps
PRJ0010,Urbanisation SI Microsoft,ACC0152,DEP005,2023-02-12,2023-07-23,900666.96,Completed,EMP0104,TND,DevOps; Machine Learning
PRJ0011,Modernisation Legacy Leoni,ACC0067,DEP007,2023-11-22,2024-11-15,522930.41,On Hold,EMP0084,TND,SAP; Data Analytics
PRJ0012,Assistant IA CNSS,ACC0053,DEP008,2023-11-03,2024-04-20,246953.39,Active,EMP0003,TND,Machine Learning; AWS; Data Analytics; Business Analysis
