  hr_performance_reviews  ·  348 lignes  ·  13 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
review_id,employee_id,review_period,overall_score,delivery_quality_score,teamwork_score,innovation_score,technical_skills_score,goals_achieved_pct,promotion_eligible,reviewer_id,review_date,comments
REV00001,EMP0001,2024-H1,3.5,3.7,3.4,3.3,3.5,50,Under Review,EMP0148,2024-06-08,"Strong performance, exceeded expectations."
REV00002,EMP0001,2022-H2,3.4,2.8,4.1,3.9,4.3,52,No,EMP0122,2022-12-18,"High potential, recommend for senior role."
REV00003,EMP0001,2023-H1,4.5,4.2,4.5,4.9,4.8,54,Yes,EMP0109,2023-06-19,Exceptional delivery on key projects.
REV00004,EMP0001,2022-H1,3.2,2.3,3.2,3.6,3.9,52,No,EMP0032,2022-06-13,"Strong performance, exceeded expectations."
REV00005,EMP0002,2023-H1,3.4,3.4,3.2,4.2,3.4,73,No,EMP0053,2023-06-19,"Good team player, needs to develop technical depth."
REV00006,EMP0002,2024-H2,3,2.9,2.5,3.1,2.8,76,No,EMP0052,2024-12-01,"Met targets, room for improvement in leadership."
REV00007,EMP0002,2024-H1,2.5,2.4,2.5,2.5,2.1,96,No,EMP0004,2024-06-10,"Strong performance, exceeded expectations."
REV00008,EMP0002,2022-H1,2.4,2.1,2.3,2.2,2.4,59,No,EMP0054,2022-06-23,Exceptional delivery on key projects.
REV00009,EMP0003,2022-H1,4.8,4.4,4.1,5,4.2,87,Yes,EMP0135,2022-06-04,Consistently delivers quality work.
REV00010,EMP0004,2024-H2,3.8,3.7,3.7,3.7,3.6,68,Under Review,EMP0021,2024-12-09,"High potential, recommend for senior role."
REV00011,EMP0004,2023-H2,3,3.7,2.9,3.4,3.2,99,No,EMP0085,2023-12-25,Consistently delivers quality work.
REV00012,EMP0005,2022-H2,3.7,3.9,4.1,3.2,4,99,Under Review,EMP0029,2022-12-07,"Good team player, needs to develop technical depth."
REV00013,EMP0006,2023-H2,4.6,5,4.9,3.9,5,70,Yes,EMP0079,2023-12-05,"Strong performance, exceeded expectations."
REV00014,EMP0006,2023-H1,3.8,4.2,3.7,4.2,3.9,61,Under Review,EMP0065,2023-06-01,"Good team player, needs to develop technical depth."
REV00015,EMP0006,2022-H1,4,3.6,4,4.6,4.1,50,Under Review,EMP0142,2022-06-02,"High potential, recommend for senior role."
REV00016,EMP0007,2022-H2,3.1,2.7,3.5,2.7,2.7,66,No,EMP0104,2022-12-27,"Strong performance, exceeded expectations."
REV00017,EMP0007,2024-H2,3.8,3.8,3.9,3.6,4.2,57,Under Review,EMP0115,2024-12-02,"Good team player, needs to develop technical depth."
REV00018,EMP0008,2022-H2,2.5,1.9,2.8,2,2.5,77,No,EMP0148,2022-12-06,Exceptional delivery on key projects.
REV00019,EMP0009,2022-H2,3.2,4,2.8,2.7,2.9,85,No,EMP0010,2022-12-16,"Strong performance, exceeded expectations."
REV00020,EMP0009,2023-H1,2.8,2.8,3,3.1,3.6,83,No,EMP0024,2023-06-08,"Struggling with workload, needs support."
REV00021,EMP0010,2023-H2,3.6,3.2,3.7,3.1,3.3,67,Under Review,EMP0141,2023-12-06,"Strong performance, exceeded expectations."
REV00022,EMP0011,2024-H1,3.3,4.5,3.7,2.5,3.2,64,No,EMP0073,2024-06-06,"Strong performance, exceeded expectations."
REV00023,EMP0011,2022-H2,3.5,3.8,3.9,2.5,4.8,64,Under Review,EMP0138,2022-12-19,"High potential, recommend for senior role."
REV00024,EMP0011,2022-H1,4.3,3.8,4.9,4.5,4.1,87,Yes,EMP0101,2022-06-11,"High potential, recommend for senior role."
REV00025,EMP0012,2024-H1,4.4,4.2,5,4.1,4.8,84,Yes,EMP0146,2024-06-10,"Met targets, room for improvement in leadership."
REV00026,EMP0012,2022-H1,1.8,1.9,1.8,1.7,1.8,80,No,EMP0127,2022-06-01,Exceptional delivery on key projects.
REV00027,EMP0012,2023-H1,3.9,3.8,3.8,4.2,4.2,53,Under Review,EMP0035,2023-06-01,"Met targets, room for improvement in leadership."
REV00028,EMP0013,2022-H1,2.2,2.6,2.1,2.7,2.1,56,No,EMP0095,2022-06-11,Exceptional delivery on key projects.
REV00029,EMP0013,2024-H1,2.7,3.7,3,1.5,2.6,85,No,EMP0113,2024-06-23,Consistently delivers quality work.
REV00030,EMP0014,2022-H2,3.2,3,3.8,3.8,3.7,94,No,EMP0098,2022-12-19,"Good team player, needs to develop technical depth."
REV00031,EMP0014,2024-H1,4.2,3.6,4.7,4.3,5,64,Yes,EMP0147,2024-06-21,Consistently delivers quality work.
REV00032,EMP0014,2024-H2,2.6,2.8,2.5,2.6,2.3,70,No,EMP0028,2024-12-06,"Struggling with workload, needs support."
REV00033,EMP0015,2024-H2,3,2.4,2.7,3.1,3,66,No,EMP0087,2024-12-26,"Strong performance, exceeded expectations."
REV00034,EMP0016,2022-H1,3.8,3.4,4,4.1,4.2,74,Under Review,EMP0100,2022-06-12,Consistently delivers quality work.
REV00035,EMP0017,2022-H1,2.3,2.5,2.2,2.7,2.4,60,No,EMP0009,2022-06-13,"Met targets, room for improvement in leadership."
REV00036,EMP0017,2023-H2,3.4,2.6,3.2,4,3.7,89,No,EMP0021,2023-12-16,"Struggling with workload, needs support."
REV00037,EMP0017,2022-H2,5,5,4.7,4.7,5,62,Yes,EMP0044,2022-12-14,"Struggling with workload, needs support."
REV00038,EMP0017,2024-H2,3.7,3.6,3.1,3.7,4,65,Under Review,EMP0143,2024-12-04,"Strong performance, exceeded expectations."
REV00039,EMP0018,2024-H1,3.6,3.6,3.4,4.3,3.4,51,Under Review,EMP0024,2024-06-07,"Met targets, room for improvement in leadership."
REV00040,EMP0018,2024-H2,3.2,3.6,3.1,3.9,3.7,80,No,EMP0076,2024-12-16,"Struggling with workload, needs support."
REV00041,EMP0018,2023-H2,3.4,4,3.7,4.4,3.1,66,No,EMP0101,2023-12-15,"Good team player, needs to develop technical depth."
REV00042,EMP0018,2022-H1,4.1,4.1,4.4,4.9,4.4,92,Under Review,EMP0069,2022-06-04,"Strong performance, exceeded expectations."
REV00043,EMP0019,2024-H1,2.2,1.9,1.8,2.5,2.5,65,No,EMP0135,2024-06-16,Exceptional delivery on key projects.
REV00044,EMP0019,2023-H2,2.9,2.3,3.4,3.5,3,83,No,EMP0022,2023-12-26,Consistently delivers quality work.
REV00045,EMP0019,2022-H2,3.1,2.6,3.5,2.9,3.3,63,No,EMP0032,2022-12-26,"Met targets, room for improvement in leadership."
REV00046,EMP0020,2022-H1,3.4,3.8,3.4,4.1,3.4,88,No,EMP0022,2022-06-09,Exceptional delivery on key projects.
REV00047,EMP0020,2023-H2,4.8,4.3,5,5,4.1,83,Yes,EMP0018,2023-12-15,"High potential, recommend for senior role."
REV00048,EMP0021,2024-H2,3.1,3.1,2.9,3.5,3.5,87,No,EMP0135,2024-12-25,"Strong performance, exceeded expectations."
REV00049,EMP0022,2024-H1,3.7,3,4.3,3,3.6,86,Under Review,EMP0139,2024-06-20,"Good team player, needs to develop technical depth."
REV00050,EMP0023,2022-H2,4.5,4,4.8,4.3,4.1,75,Yes,EMP0072,2022-12-11,"Struggling with workload, needs support."
REV00051,EMP0024,2022-H1,4.8,4.4,4.4,5,4.5,94,Yes,EMP0006,2022-06-22,"Strong performance, exceeded expectations."
REV00052,EMP0024,2023-H2,4.7,5,5,3.8,5,67,Yes,EMP0060,2023-12-24,"Good team player, needs to develop technical depth."
